Partition E7C2024B-CF04-4E47-919F-1E18469BA009
		member(57) 29951
		member(58) 30975
		member(59) 30463
		member(60) 31231
		member(61) 29951
		member(62) 30975
		member(63) 30463
		member(64) 31231
		member(65) 29951
		member(66) 30975
		member(67) 30463
		member(68) 31231
		member(69) 29951
		member(70) 30975
		member(71) 30463
		member(72) 30719
		member(73) 29951
		member(74) 30975
		member(75) 30463
		member(76) 30719
		member(77) 29695
		member(78) 30719
		member(79) 29951
		member(80) 29695
		member(81) 29183
		member(82) 30207
		member(83) 29439
		member(84) 29439
		member(85) 28927
		member(86) 28671
		member(87) 29183
		member(88) 29183
		member(89) 28671
		member(90) 27903
		member(91) 28927
		member(92) 27903
		member(93) 28415
		member(94) 27135
		member(95) 28159
		member(96) 27391
		member(97) 27647
		member(98) 26367
		member(99) 27391
		member(100) 26623
		member(101) 27391
		member(102) 26111
		member(103) 27135
		member(104) 25855
		member(105) 27391
		member(106) 25599
		member(107) 26623
		member(108) 25343
		member(109) 27135
		member(110) 25343
		member(111) 25855
		member(112) 25087
		member(113) 25343
		member(114) 25087
		member(115) 22015
		member(116) 22015
		member(117) 23039
		member(118) 23807
		member(119) 20223
		member(120) 21247
		member(121) 13311
		member(122) 22783
		member(123) 20223
		member(124) 20735
		member(125) 11007
		member(126) 15103
		member(127) 20223
		member(128) 17151
		member(129) 0
		member(130) 5631
		member(131) 7935
UpdateLinearVelocityData Instance144
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor *nullGuid*
		EvaluatorInput EfNormTime
UpdateLinearVelocityData Instance145
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor *nullGuid*
		EvaluatorInput EfNormTime
UpdateLinearVelocityData Instance146
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor *nullGuid*
		EvaluatorInput EfNormTime
UpdateLinearVelocityData Instance147
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor *nullGuid*
		EvaluatorInput EfNormTime
UpdateOrientationData Instance148
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance142
		EvaluatorInput EfNormTime
UpdateOrientationData Instance149
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance140
		EvaluatorInput EfNormTime
UpdateOrientationData Instance150
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance143
		EvaluatorInput EfNormTime
UpdateOrientationData Instance151
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance141
		EvaluatorInput EfNormTime
UpdateRotationData Instance152
	$::ProcessorData
		$::DataContainer
		Pre Instance47
		NextProcessor Instance112
		EvaluatorInput EfEmitterNormWindSpeed
UpdateRotationData Instance153
	$::ProcessorData
		$::DataContainer
		Pre Instance30
		NextProcessor Instance113
		EvaluatorInput EfEmitterNormWindSpeed
UpdateRotationData Instance154
	$::ProcessorData
		$::DataContainer
		Pre Instance32
		NextProcessor Instance115
		EvaluatorInput EfEmitterNormWindSpeed
UpdateRotationData Instance155
	$::ProcessorData
		$::DataContainer
		Pre Instance28
		NextProcessor Instance114
		EvaluatorInput EfEmitterNormWindSpeed
UpdateSizeData Instance156
	$::ProcessorData
		$::DataContainer
		Pre Instance14
		NextProcessor Instance160
		EvaluatorInput EfNormTime
	Pivot::Vec2
		x 0.0
		y 0.0
UpdateSizeData Instance157
	$::ProcessorData
		$::DataContainer
		Pre Instance43
		NextProcessor Instance162
		EvaluatorInput EfNormTime
	Pivot::Vec2
		x 0.0
		y 0.0
UpdateSizeData Instance158
	$::ProcessorData
		$::DataContainer
		Pre Instance29
		NextProcessor Instance161
		EvaluatorInput EfNormTime
	Pivot::Vec2
		x 0.0
		y 0.0
UpdateSizeData Instance159
	$::ProcessorData
		$::DataContainer
		Pre Instance24
		NextProcessor Instance163
		EvaluatorInput EfNormTime
	Pivot::Vec2
		x 0.0
		y 0.0
UpdateSizeXData Instance160
	$::ProcessorData
		$::DataContainer
		Pre Instance36
		NextProcessor Instance123
		EvaluatorInput EfNormTime
UpdateSizeXData Instance161
	$::ProcessorData
		$::DataContainer
		Pre Instance22
		NextProcessor Instance122
		EvaluatorInput EfNormTime
UpdateSizeXData Instance162
	$::ProcessorData
		$::DataContainer
		Pre Instance18
		NextProcessor Instance121
		EvaluatorInput EfNormTime
UpdateSizeXData Instance163
	$::ProcessorData
		$::DataContainer
		Pre Instance17
		NextProcessor Instance120
		EvaluatorInput EfNormTime
UpdateTextureCoordsData Instance164
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance170
		EvaluatorInput EfNormTime
	BaseTexture FX/Textures/Fire/FireTurbulent_01_4x2/4FBE57B8-F0D2-4083-9EA2-E09A72B46D44
	NormalTexture Systems/Emitter/DefaultNormalTexture/FFDD9E47-30B0-4C9E-9539-2F6240C340CC
UpdateTextureCoordsData Instance165
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance171
		EvaluatorInput EfNormTime
	BaseTexture FX/Textures/Fire/FireTurbulent_01_4x2/4FBE57B8-F0D2-4083-9EA2-E09A72B46D44
	NormalTexture Systems/Emitter/DefaultNormalTexture/FFDD9E47-30B0-4C9E-9539-2F6240C340CC
UpdateTextureCoordsData Instance166
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance169
		EvaluatorInput EfNormTime
	BaseTexture FX/Textures/Fire/FireTurbulent_01_4x2/4FBE57B8-F0D2-4083-9EA2-E09A72B46D44
	NormalTexture Systems/Emitter/DefaultNormalTexture/FFDD9E47-30B0-4C9E-9539-2F6240C340CC
UpdateTextureCoordsData Instance167
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance168
		EvaluatorInput EfNormTime
	BaseTexture FX/Textures/Fire/FireTurbulent_01_4x2/4FBE57B8-F0D2-4083-9EA2-E09A72B46D44
	NormalTexture Systems/Emitter/DefaultNormalTexture/FFDD9E47-30B0-4C9E-9539-2F6240C340CC
UpdateTransparencyData Instance168
	$::ProcessorData
		$::DataContainer
		Pre Instance37
		NextProcessor Instance153
		EvaluatorInput EfNormTime
	CullThreshold 0.20000000298023224
UpdateTransparencyData Instance169
	$::ProcessorData
		$::DataContainer
		Pre Instance33
		NextProcessor Instance152
		EvaluatorInput EfNormTime
	CullThreshold 0.20000000298023224
UpdateTransparencyData Instance170
	$::ProcessorData
		$::DataContainer
		Pre Instance19
		NextProcessor Instance155
		EvaluatorInput EfNormTime
	CullThreshold 0.20000000298023224
UpdateTransparencyData Instance171
	$::ProcessorData
		$::DataContainer
		Pre Instance41
		NextProcessor Instance154
		EvaluatorInput EfNormTime
	CullThreshold 0.20000000298023224
WorldForcesData Instance172
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance178
		EvaluatorInput EfNormTime
	ForcesMultiplier 0.5
	PerParticleRandomness 0.5
WorldForcesData Instance173
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance179
		EvaluatorInput EfNormTime
	ForcesMultiplier 0.5
	PerParticleRandomness 0.5
WorldForcesData Instance174
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance176
		EvaluatorInput EfNormTime
	ForcesMultiplier 0.5
	PerParticleRandomness 0.5
WorldForcesData Instance175
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance177
		EvaluatorInput EfNormTime
	ForcesMultiplier 0.5
	PerParticleRandomness 0.5
WorldWindData Instance176
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance133
		EvaluatorInput EfNormTime
	WindMultiplier 0.5
	PerParticleRandomness 0.5
WorldWindData Instance177
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance135
		EvaluatorInput EfNormTime
	WindMultiplier 0.5
	PerParticleRandomness 0.5
WorldWindData Instance178
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance132
		EvaluatorInput EfNormTime
	WindMultiplier 0.5
	PerParticleRandomness 0.5
WorldWindData Instance179
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance134
		EvaluatorInput EfNormTime
	WindMultiplier 0.5
	PerParticleRandomness 0.5
